,id,price,levy,manufacturer,model,category,leather_interior,fuel_type,engine_volume,mileage,cylinders,gear_box_type,drive_wheels,doors,wheel,color,airbags,car_age
3165,45656919,4547.0,1598.0,MERCEDES-BENZ,ML 350,Jeep,Yes,Diesel,3.0,213998.0,6.0,Automatic,4x4,4,Left wheel,Silver,12.0,16.0
3166,45760553,17562.0,751.0,KIA,Optima,Sedan,Yes,Petrol,2.4,130000.0,4.0,Tiptronic,Front,4,Left wheel,White,10.0,11.0
3167,45797765,15994.0,1185.0,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,74121.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,15.0
3168,45801429,12720.0,531.0,HYUNDAI,Accent,Sedan,Yes,Diesel,1.6,169486.0,4.0,Automatic,Front,4,Left wheel,Grey,4.0,12.0
3170,45729750,42692.0,831.0,SSANGYONG,Actyon,Jeep,Yes,Diesel,1.6,29308.0,4.0,Automatic,Front,4,Left wheel,White,4.0,7.0
3172,45730115,24709.0,528.0,HYUNDAI,Elantra,Sedan,Yes,Diesel,1.6,133480.0,4.0,Automatic,Front,4,Left wheel,White,4.0,10.0
3173,45755078,2430.0,781.0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,228717.0,4.0,Automatic,Front,4,Left wheel,Grey,12.0,12.0
3174,45768488,9565.0,1058.0,TOYOTA,Highlander,Jeep,Yes,Petrol,3.5,285186.0,6.0,Automatic,Front,4,Left wheel,Grey,12.0,12.0
3176,45733429,45044.0,1017.0,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.0,87810.0,4.0,Automatic,Front,4,Left wheel,Brown,4.0,7.0
3179,45384274,28225.0,640.0,FORD,Fusion,Sedan,Yes,Hybrid,2.0,126000.0,4.0,Variator,Front,4,Left wheel,Grey,4.0,11.0
3181,45727536,15850.0,642.0,SSANGYONG,Korando,Jeep,Yes,Diesel,2.0,142014.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,12.0
3185,45805617,11917.0,753.0,HYUNDAI,Sonata,Sedan,Yes,Hybrid,2.4,116000.0,4.0,Automatic,Front,4,Left wheel,White,8.0,12.0
3186,45769971,1176.0,934.0,MAZDA,1000,Sedan,Yes,Petrol,2.5,142800.0,4.0,Automatic,Front,4,Left wheel,Grey,12.0,9.0
3187,44942954,8938.0,1267.0,TOYOTA,Aqua,Hatchback,No,Hybrid,1.5,109000.0,4.0,Automatic,Front,4,Right-hand drive,Silver,2.0,11.0
3188,45797668,20005.0,583.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,106616.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,13.0
3190,43294459,7300.0,1111.0,HONDA,FIT,Hatchback,No,Petrol,1.3,100000.0,4.0,Automatic,Front,4,Right-hand drive,White,4.0,12.0
3191,45716132,8154.0,843.0,TOYOTA,Prius,Hatchback,No,Hybrid,1.5,200000.0,4.0,Automatic,Front,4,Left wheel,Grey,8.0,16.0
3193,45766467,3450.0,1624.0,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,109139.0,6.0,Automatic,Rear,4,Left wheel,Black,12.0,15.0
3194,45763511,3136.0,1327.0,MAZDA,616,Jeep,Yes,Petrol,2.5,67066.0,4.0,Automatic,Front,4,Left wheel,White,12.0,6.0
3195,45631242,10506.0,639.0,SUBARU,XV,Sedan,Yes,Petrol,2.0,142211.0,4.0,Automatic,4x4,4,Left wheel,Black,0.0,10.0
3196,45790750,9095.0,1438.0,OPEL,Combo,Goods wagon,No,Diesel,1.7,16500.0,4.0,Manual,Front,4,Left wheel,Red,2.0,21.0
3197,44466911,10976.0,831.0,HYUNDAI,Sonata,Sedan,No,Petrol,2.4,149000.0,4.0,Tiptronic,Front,4,Left wheel,Blue,10.0,13.0
3198,45476710,9095.0,988.0,TOYOTA,Prius,Hatchback,No,Hybrid,1.5,150000.0,4.0,Automatic,Front,4,Left wheel,Silver,9.0,17.0
3201,45798495,22580.0,779.0,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,47000.0,4.0,Automatic,Front,4,Left wheel,White,8.0,11.0
3203,45451220,9408.0,642.0,DODGE,Caliber,Hatchback,No,Petrol,2.0,133000.0,4.0,Automatic,Front,4,Left wheel,Grey,8.0,12.0
3205,45801481,14454.0,531.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,149935.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,12.0
3206,45815994,4077.0,751.0,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.4,111930.0,4.0,Automatic,Front,4,Left wheel,Silver,12.0,11.0
3209,45641724,3450.0,607.0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,9626.0,4.0,Automatic,Front,4,Left wheel,Black,12.0,5.0
3210,45730753,15423.0,687.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,80861.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,14.0
3211,45781021,10349.0,836.0,DODGE,Caliber,Jeep,No,Petrol,2.0,90000.0,4.0,Automatic,Front,4,Left wheel,Yellow,12.0,14.0
3212,45784870,15681.0,586.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,236800.0,4.0,Automatic,Front,4,Left wheel,Black,6.0,12.0
3213,45789501,16308.0,562.0,CHEVROLET,Cruze,Jeep,No,Petrol,1.4,144000.0,4.0,Automatic,Front,4,Left wheel,Brown,0.0,9.0
3217,45810410,20814.0,640.0,CHEVROLET,Orlando,Jeep,Yes,Diesel,2.0,151522.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,11.0
3218,45803239,15681.0,891.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,195432.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,8.0
3223,45624167,16308.0,586.0,TOYOTA,Prius,Sedan,No,Hybrid,1.8,180000.0,4.0,Variator,Front,4,Left wheel,Grey,12.0,12.0
3224,45732126,45436.0,765.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,115459.0,4.0,Automatic,Front,4,Left wheel,Blue,4.0,9.0
3225,45636209,8781.0,531.0,NISSAN,Juke,Jeep,Yes,Petrol,1.6,167405.0,4.0,Automatic,4x4,4,Left wheel,Black,0.0,12.0
3226,45802028,15285.0,836.0,HYUNDAI,Genesis,Coupe,Yes,Petrol,2.0,115363.0,4.0,Automatic,Front,4,Left wheel,Red,4.0,14.0
3230,45730392,32935.0,639.0,SSANGYONG,REXTON,Jeep,Yes,Diesel,2.0,117527.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,10.0
3231,45802263,25763.0,777.0,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,273500.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,10.0
3234,45732829,10036.0,639.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,347600.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,10.0
3238,45760526,39201.0,1055.0,TOYOTA,Highlander,Jeep,Yes,Petrol,3.5,115200.0,6.0,Tiptronic,4x4,4,Left wheel,Black,8.0,11.0
3241,45792257,12074.0,707.0,KIA,Optima,Sedan,Yes,Petrol,2.0,48656.0,4.0,Automatic,Front,4,Left wheel,White,4.0,13.0
3242,45732830,13495.0,707.0,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.0,91678.0,4.0,Automatic,Front,4,Left wheel,Grey,4.0,13.0
3244,45526904,36065.0,1202.0,JEEP,Compass,Jeep,No,Petrol,2.4,38000.0,4.0,Tiptronic,4x4,4,Left wheel,Sky blue,6.0,7.0
3245,45810334,19933.0,639.0,CHEVROLET,Malibu,Sedan,Yes,Petrol,2.0,145783.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,10.0
3246,45776100,34497.0,749.0,HYUNDAI,Santa FE,Jeep,Yes,Petrol,2.4,127200.0,4.0,Automatic,4x4,4,Left wheel,Black,8.0,10.0
3247,45810610,8097.0,363.0,CHEVROLET,Spark,Hatchback,Yes,Petrol,1.0,169617.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,10.0
3251,45803292,16894.0,836.0,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.0,211075.0,4.0,Automatic,Front,4,Left wheel,White,4.0,14.0
3252,45805554,8781.0,1228.0,OPEL,Astra,Universal,No,Diesel,1.9,2000.0,4.0,Manual,Front,4,Left wheel,Black,10.0,17.0
3254,45763277,6743.0,749.0,BUICK,Century,Sedan,Yes,Petrol,2.4,49384.0,4.0,Automatic,Front,4,Left wheel,Red,12.0,10.0
3255,45618054,18189.0,1172.0,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,248525.0,6.0,Automatic,4x4,4,Left wheel,Black,12.0,13.0
3256,45631908,11917.0,1195.0,FORD,Transit,Microbus,No,Diesel,2.2,150000.0,4.0,Manual,Front,4,Left wheel,White,4.0,16.0
3258,45806581,20071.0,781.0,TOYOTA,Camry,Sedan,No,Petrol,2.5,84000.0,4.0,Tiptronic,Front,4,Left wheel,Silver,12.0,12.0
3260,45646875,1803.0,1405.0,BMW,X5,Jeep,Yes,Diesel,3.0,229854.0,6.0,Automatic,4x4,4,Left wheel,Green,0.0,15.0
3263,45149684,32929.0,1211.0,MERCEDES-BENZ,ML 350,Jeep,Yes,Diesel,3.0,224000.0,6.0,Automatic,4x4,4,Left wheel,Black,8.0,14.0
3265,45810198,21103.0,640.0,CHEVROLET,Malibu,Sedan,Yes,Petrol,2.0,101124.0,4.0,Automatic,Front,4,Left wheel,White,4.0,11.0
3266,45724246,27284.0,640.0,AUDI,A4,Sedan,Yes,Petrol,2.0,144000.0,4.0,Automatic,Front,4,Left wheel,White,12.0,11.0
3267,45617763,3607.0,781.0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,156518.0,4.0,Automatic,Front,4,Left wheel,White,12.0,12.0
3268,45797074,36137.0,880.0,HYUNDAI,Elantra,Sedan,Yes,LPG,1.6,47181.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,6.0
3270,45809948,47201.0,900.0,HONDA,Civic,Sedan,Yes,Petrol,2.4,104867.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,9.0
3275,45801571,20071.0,730.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,72507.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,8.0
3277,45648965,15681.0,777.0,FORD,Fusion,Sedan,No,Petrol,2.5,118000.0,4.0,Tiptronic,Front,4,Left wheel,White,10.0,10.0
3281,45797896,18240.0,687.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,52418.0,4.0,Automatic,Front,4,Left wheel,White,4.0,14.0
3285,45815076,4391.0,779.0,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,171258.0,4.0,Automatic,Front,4,Left wheel,Silver,12.0,11.0
3286,45709326,9095.0,585.0,HYUNDAI,Elantra,Sedan,No,Petrol,1.8,160000.0,4.0,Tiptronic,Front,4,Left wheel,Silver,8.0,11.0
3291,45772341,5018.0,1624.0,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,109139.0,6.0,Automatic,Rear,4,Left wheel,Black,12.0,15.0
3292,44236177,28100.0,562.0,BUICK,Encore,Jeep,No,Petrol,1.4,85000.0,4.0,Tiptronic,Front,4,Left wheel,Black,10.0,9.0
3294,45788166,14897.0,761.0,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,163200.0,4.0,Automatic,Front,4,Left wheel,Brown,16.0,14.0
3295,45815887,10976.0,1275.0,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.4,29419.0,4.0,Automatic,Front,4,Left wheel,Blue,12.0,5.0
3296,45801306,10349.0,1132.0,RENAULT,Megane,Universal,No,Diesel,1.5,163000.0,4.0,Manual,Front,4,Left wheel,White,6.0,18.0
3297,45797350,14113.0,531.0,HYUNDAI,I30,Hatchback,Yes,Diesel,1.6,31593.0,4.0,Automatic,Front,4,Left wheel,White,4.0,12.0
3299,45772391,2195.0,645.0,HYUNDAI,Elantra,Jeep,Yes,Petrol,1.8,308501.0,4.0,Automatic,Front,4,Left wheel,Blue,12.0,13.0
3300,45757725,1019.0,781.0,TOYOTA,RAV 4,Jeep,Yes,Petrol,2.5,293029.0,4.0,Automatic,4x4,4,Left wheel,Black,12.0,12.0
3301,45809282,8590.0,502.0,HONDA,FIT,Hatchback,Yes,Hybrid,1.5,122471.0,4.0,Automatic,Front,4,Left wheel,Blue,4.0,11.0
3304,45730021,33538.0,730.0,SSANGYONG,Actyon,Jeep,Yes,Petrol,1.6,49799.0,4.0,Automatic,Front,4,Left wheel,Blue,4.0,8.0
3305,45809403,16292.0,446.0,HONDA,FIT,Universal,Yes,Petrol,1.3,30425.0,4.0,Automatic,Front,4,Left wheel,Blue,4.0,10.0
3306,45809735,19306.0,501.0,TOYOTA,Aqua,Hatchback,Yes,Petrol,1.5,82000.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,10.0
3308,45209376,19601.0,690.0,FORD,Escape,Jeep,Yes,Petrol,1.5,108295.0,4.0,Automatic,Front,4,Left wheel,Black,10.0,8.0
3310,45615518,12231.0,530.0,NISSAN,Juke,Jeep,Yes,Petrol,1.6,110531.0,4.0,Automatic,4x4,4,Left wheel,Red,0.0,11.0
3315,45761437,18817.0,308.0,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,145000.0,4.0,Automatic,Front,4,Left wheel,Grey,10.0,10.0
3318,45797045,34406.0,777.0,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,125445.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,10.0
3319,45797660,13768.0,862.0,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,53440.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,13.0
3320,45653168,5018.0,1399.0,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,167222.0,6.0,Automatic,4x4,4,Left wheel,Black,12.0,14.0
3321,45767603,30107.0,1327.0,SUBARU,Forester,Jeep,No,Petrol,2.5,80000.0,4.0,Automatic,4x4,4,Left wheel,Blue,12.0,6.0
3324,45733095,11604.0,639.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,264872.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,10.0
3329,45803277,10036.0,639.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,268046.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,10.0
3334,45393419,36065.0,1079.0,TOYOTA,CHR,Jeep,No,Petrol,2.0,37214.0,4.0,Automatic,Front,4,Left wheel,Grey,10.0,6.0
3337,45769154,16308.0,934.0,TOYOTA,RAV 4,Jeep,No,Petrol,2.5,73000.0,4.0,Automatic,4x4,4,Left wheel,Orange,0.0,9.0
3338,45641384,18817.0,609.0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,35058.0,4.0,Automatic,Front,4,Left wheel,White,12.0,6.0
3341,45627506,1411.0,640.0,SUZUKI,SX4,Sedan,Yes,Petrol,2.0,193504.0,4.0,Automatic,Front,4,Left wheel,Red,0.0,11.0
3343,45732128,44542.0,765.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,93876.0,4.0,Automatic,Front,4,Left wheel,Blue,4.0,9.0
3346,45797023,19369.0,707.0,HYUNDAI,Genesis,Coupe,Yes,Petrol,2.0,153651.0,4.0,Automatic,Front,4,Left wheel,Red,4.0,13.0
3347,45803167,15994.0,765.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,39878.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,9.0
3348,45638976,15367.0,530.0,HYUNDAI,Veloster,Coupe,Yes,Petrol,1.6,135000.0,4.0,Tiptronic,Front,2,Left wheel,Black,12.0,11.0
3349,45727251,21357.0,642.0,SSANGYONG,Korando,Jeep,Yes,Diesel,2.0,143265.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,12.0
3351,45732687,15053.0,765.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,318677.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,9.0
3352,45809024,7527.0,687.0,DAEWOO,Lacetti,Sedan,Yes,Petrol,1.6,69111.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,14.0
3354,45797536,20266.0,531.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,88288.0,4.0,Automatic,Front,4,Left wheel,White,4.0,12.0
3357,45802906,28068.0,640.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,53240.0,4.0,Automatic,Front,4,Left wheel,Grey,4.0,11.0
3358,45763324,3293.0,753.0,CHEVROLET,Malibu,Sedan,Yes,Petrol,2.4,103541.0,4.0,Automatic,Front,4,Left wheel,White,12.0,12.0
3359,45798490,17876.0,640.0,HYUNDAI,Elantra gt,Hatchback,No,Petrol,2.0,53000.0,4.0,Automatic,Front,4,Left wheel,White,8.0,11.0
3360,45797345,16465.0,528.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,122518.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,10.0
3362,45786653,9000.0,1111.0,HONDA,FIT,Universal,No,Hybrid,1.3,98000.0,4.0,Automatic,Front,4,Right-hand drive,Grey,2.0,12.0
3363,45730946,15245.0,707.0,HYUNDAI,Genesis,Coupe,Yes,Petrol,2.0,117492.0,4.0,Automatic,Front,4,Left wheel,Grey,4.0,13.0
3364,45815824,42965.0,779.0,TOYOTA,Avalon LIMITED,Sedan,Yes,Hybrid,2.5,97852.0,5.0,Tiptronic,Front,4,Left wheel,Carnelian red,10.0,11.0
3366,45744723,7997.0,836.0,DAEWOO,Lacetti,Sedan,Yes,Diesel,2.0,47221.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,14.0
3367,45802599,27259.0,640.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,201373.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,11.0
3370,45810537,22063.0,642.0,CHEVROLET,Orlando,Jeep,Yes,Diesel,2.0,110297.0,4.0,Automatic,Front,4,Left wheel,Grey,4.0,12.0
3372,45802170,31082.0,777.0,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,170971.0,4.0,Automatic,Front,4,Left wheel,Grey,4.0,10.0
3375,45730784,16778.0,531.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,41279.0,4.0,Automatic,Front,4,Left wheel,White,4.0,12.0
3376,45757919,4547.0,1018.0,AUDI,A6,Sedan,Yes,Petrol,3.0,193685.0,6.0,Automatic,4x4,4,Left wheel,Black,12.0,13.0
3377,45798110,12585.0,1047.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,126184.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,17.0
3378,45733014,15681.0,891.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,248705.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,8.0
3380,45730472,28482.0,640.0,SSANGYONG,REXTON,Jeep,Yes,Diesel,2.0,198288.0,4.0,Automatic,Front,4,Left wheel,White,4.0,11.0
3381,45801501,26017.0,831.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,107220.0,4.0,Automatic,Front,4,Left wheel,White,4.0,7.0
3382,45649715,3607.0,781.0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,156518.0,4.0,Automatic,Front,4,Left wheel,White,12.0,12.0
3384,45800773,15053.0,585.0,TOYOTA,Prius,Sedan,No,Hybrid,1.8,179000.0,4.0,Variator,Front,4,Left wheel,Silver,6.0,11.0
3385,45730615,29711.0,583.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,45898.0,4.0,Automatic,Front,4,Left wheel,White,4.0,13.0
3386,45730291,32035.0,707.0,SSANGYONG,REXTON,Jeep,Yes,Diesel,2.0,53323.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,13.0
3387,45732144,36827.0,640.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,171755.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,11.0
3388,45772509,2430.0,1598.0,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.0,175614.0,6.0,Automatic,Rear,4,Left wheel,Black,12.0,16.0
3389,45809554,34102.0,595.0,HONDA,FIT,Hatchback,Yes,Petrol,1.5,65000.0,4.0,Automatic,Front,4,Left wheel,White,4.0,9.0
3392,45804346,26372.0,753.0,JEEP,Compass,Jeep,Yes,Petrol,2.4,121456.0,4.0,Automatic,Front,4,Left wheel,Red,4.0,12.0
3393,45801910,19130.0,528.0,HYUNDAI,Elantra,Sedan,Yes,Diesel,1.6,142495.0,4.0,Automatic,Front,4,Left wheel,White,4.0,10.0
3395,45732757,16894.0,836.0,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.0,126799.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,14.0
3396,45766224,1019.0,831.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,25635.0,4.0,Automatic,Front,4,Left wheel,Black,12.0,7.0
3397,45651192,2509.0,1399.0,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,315270.0,6.0,Automatic,4x4,4,Left wheel,Grey,12.0,14.0
3398,45801470,21395.0,730.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,144889.0,4.0,Automatic,Front,4,Left wheel,White,4.0,8.0
3399,45803639,17468.0,836.0,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,216024.0,4.0,Automatic,Front,4,Left wheel,White,4.0,14.0
3400,45765948,10976.0,707.0,DODGE,Caliber,Universal,No,Petrol,2.0,167000.0,4.0,Automatic,Front,4,Left wheel,Grey,5.0,13.0
3401,45803376,13642.0,765.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,43000.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,9.0
3402,42866426,25559.0,900.0,MITSUBISHI,Outlander,Jeep,No,Petrol,2.4,64467.0,4.0,Automatic,4x4,4,Left wheel,White,8.0,9.0
3403,45523554,2587.0,1079.0,TOYOTA,CHR,Jeep,Yes,Petrol,2.0,16213.0,4.0,Automatic,Front,4,Left wheel,Grey,12.0,6.0
3404,43525340,17405.0,639.0,FORD,Focus ST,Hatchback,Yes,Petrol,2.0,62418.0,4.0,Manual,Front,4,Left wheel,Yellow,8.0,10.0
3406,43593614,17562.0,585.0,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,120058.0,4.0,Automatic,Front,4,Left wheel,Silver,8.0,11.0
3407,45762228,4547.0,475.0,CHEVROLET,Volt,Hatchback,Yes,Hybrid,1.4,162190.0,4.0,Automatic,Front,4,Left wheel,Blue,0.0,12.0
3409,45764910,30734.0,1053.0,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,200179.0,6.0,Automatic,4x4,4,Left wheel,Black,12.0,10.0
3412,45803887,21652.0,707.0,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,161345.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,13.0
3416,45809313,17509.0,271.0,HONDA,FIT,Universal,Yes,Hybrid,1.5,82105.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,10.0
3418,45283336,22266.0,777.0,TOYOTA,Camry sporti,Sedan,Yes,Petrol,2.5,72000.0,4.0,Tiptronic,Front,4,Left wheel,Black,12.0,10.0
3421,45793607,7683.0,1282.0,CHEVROLET,Captiva,Jeep,Yes,Diesel,2.0,109063.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,17.0
3423,45383836,9722.0,473.0,CHEVROLET,Sonic,Sedan,Yes,Petrol,1.4,89000.0,4.0,Tiptronic,Front,4,Left wheel,Black,10.0,10.0
3424,45645632,5488.0,394.0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,109798.0,4.0,Automatic,Front,4,Left wheel,White,12.0,10.0
3428,45790501,23521.0,781.0,TOYOTA,Camry,Sedan,No,Hybrid,2.5,165472.0,4.0,Automatic,Front,4,Left wheel,Grey,0.0,12.0
3429,45792915,9408.0,641.0,CHEVROLET,Cruze,Sedan,Yes,Diesel,2.0,56290.0,4.0,Automatic,Front,4,Left wheel,White,4.0,12.0
3430,45795527,10349.0,1268.0,TOYOTA,Aqua,Hatchback,No,Hybrid,1.5,167000.0,4.0,Automatic,Front,4,Right-hand drive,Silver,4.0,12.0
3432,45729812,33550.0,971.0,SSANGYONG,REXTON,Jeep,Yes,Diesel,2.2,197826.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,8.0
3433,45604748,18189.0,1408.0,FORD,Transit,Microbus,No,Diesel,2.2,214000.0,4.0,Manual,Front,4,Left wheel,Blue,2.0,17.0
3436,42094534,19130.0,779.0,TOYOTA,Camry SE,Sedan,Yes,Petrol,2.5,140298.0,4.0,Automatic,Front,4,Left wheel,Black,10.0,11.0
3440,45797613,20005.0,531.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,75300.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,12.0
3445,45802191,34607.0,777.0,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,27000.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,10.0
3446,45780261,11917.0,893.0,HYUNDAI,I30,Goods wagon,No,Diesel,1.6,206000.0,4.0,Manual,Front,4,Left wheel,Black,8.0,16.0
3448,45810380,45210.0,1017.0,CHEVROLET,Malibu,Sedan,Yes,Petrol,2.0,93087.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,7.0
3450,45809932,10914.0,584.0,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.8,26243.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,10.0
3452,45808957,7517.0,687.0,DAEWOO,Lacetti,Sedan,Yes,Petrol,1.6,181421.0,4.0,Automatic,Front,4,Left wheel,White,4.0,14.0
3455,45816132,1725.0,749.0,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.4,225734.0,4.0,Automatic,Front,4,Left wheel,Blue,12.0,10.0
3458,45761305,23678.0,781.0,TOYOTA,RAV 4,Jeep,No,Petrol,2.5,177600.0,4.0,Automatic,Front,4,Left wheel,Black,11.0,12.0
3459,45769371,23521.0,1058.0,TOYOTA,Highlander,Jeep,Yes,Petrol,3.5,140966.0,6.0,Automatic,4x4,4,Left wheel,Black,12.0,12.0
3460,45803431,15681.0,891.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,305511.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,8.0
3461,45815873,2038.0,862.0,FORD,Fusion,Sedan,Yes,Petrol,2.5,174899.0,4.0,Automatic,Front,4,Left wheel,White,12.0,13.0
3465,45768386,1019.0,1537.0,TOYOTA,Highlander,Sedan,Yes,Hybrid,3.3,318358.0,6.0,Automatic,4x4,4,Left wheel,Black,12.0,15.0
3467,45648783,13328.0,1399.0,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,186005.0,6.0,Automatic,4x4,4,Left wheel,Silver,12.0,14.0
3468,45541332,24148.0,777.0,MAZDA,Mazda 6,Sedan,No,Petrol,2.5,125000.0,4.0,Automatic,Front,4,Left wheel,Grey,12.0,10.0
3471,45809844,13184.0,501.0,TOYOTA,Aqua,Hatchback,Yes,Petrol,1.5,99249.0,4.0,Automatic,Front,4,Left wheel,White,4.0,10.0
3472,45729941,37837.0,831.0,SSANGYONG,Actyon,Jeep,Yes,Petrol,1.6,72052.0,4.0,Automatic,Front,4,Left wheel,Brown,4.0,7.0
3475,45661252,5018.0,1399.0,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,167222.0,6.0,Automatic,4x4,4,Left wheel,Black,12.0,14.0
3477,45291946,21636.0,862.0,TOYOTA,Camry,Sedan,No,Petrol,2.5,114000.0,4.0,Automatic,Front,4,Left wheel,Black,8.0,13.0
